language,label,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23
I164,s1294998,-,-,+,-,-,+,+,+,+,-,-,-,-,+,-,+,-,-,+,-,+,+,-
I164,s2242427,-,+,-,-,-,+,-,-,-,+,+,-,+,+,+,-,+,+,+,+,-,+,+
I164,s1894344,-,-,+,+,+,-,-,+,+,+,-,-,+,+,+,+,+,-,-,+,-,-,-
I165,s109578,-,-,-,-,-,-,+,+,-,+,-,+,+,-,-,-,-,-,-,+,-,+,-
I165,s2062838,-,-,+,+,+,+,+,-,+,+,+,+,-,-,+,+,+,+,+,-,+,+,-
I165,s472311,-,-,-,-,+,+,+,-,-,+,+,-,+,-,-,+,+,+,+,-,+,+,+
I165,s4845041,+,-,-,+,-,-,+,+,+,+,-,+,+,-,+,+,+,+,+,-,-,-,+
I165,s6178855,+,-,+,+,+,+,-,-,+,-,-,+,-,-,-,-,-,+,-,-,+,+,+
I165,s3365990,-,+,+,-,-,+,+,-,+,-,+,+,+,-,-,-,+,+,-,-,+,+,-
I165,s6668567,+,+,-,-,+,-,+,+,+,-,-,-,-,-,+,-,-,-,+,-,+,+,+
I165,s904130,-,-,-,+,+,-,+,+,+,-,-,+,-,+,+,+,+,-,-,-,-,+,-
I165,s8289539,+,+,+,+,+,+,-,-,+,+,+,+,+,-,+,-,-,-,-,-,-,+,+
I165,s7509001,+,+,+,-,-,+,-,+,-,-,+,-,+,-,-,-,-,-,-,+,-,-,+
I165,s4863456,+,-,-,+,-,+,-,-,-,+,+,-,+,-,+,+,+,+,-,-,-,-,-
I165,s4163994,-,+,+,+,+,+,+,+,-,-,-,+,-,-,+,+,-,-,+,+,-,+,-
I165,s5106108,+,-,-,+,+,-,+,+,+,+,-,+,-,-,+,+,-,+,+,+,+,-,-
I165,s4612760,+,-,-,-,+,+,-,-,+,+,-,-,-,+,-,+,-,-,+,+,-,-,-
I165,s852658,-,-,-,+,+,-,+,-,-,-,-,-,-,+,-,+,-,+,+,-,-,+,-
I165,s2079853,-,-,+,+,+,+,+,+,-,+,+,+,+,-,-,-,+,+,-,+,+,-,+
I165,s6192013,+,-,+,+,+,+,-,-,+,+,+,+,-,+,+,+,-,-,-,+,+,-,+
I165,s6562048,+,+,-,-,+,-,-,-,-,+,-,-,-,-,+,-,-,-,-,-,-,-,-
I166,s4726617,+,-,-,+,-,-,-,-,-,-,+,+,+,+,+,-,+,-,+,+,-,-,+
I166,s8053192,+,+,+,+,-,+,-,+,+,+,-,-,-,-,+,+,+,-,-,+,-,-,-
I166,s3762508,-,+,+,+,-,-,+,-,+,+,-,+,-,-,+,-,+,-,-,+,+,-,-
I166,s5193255,+,-,-,+,+,+,+,-,-,+,+,+,+,+,-,-,-,+,-,-,+,+,+
I166,s4113154,-,+,+,+,+,+,-,+,+,-,-,-,-,+,+,-,-,-,-,-,-,+,-
I166,s6164746,+,-,+,+,+,+,-,-,-,-,+,-,-,-,+,-,-,-,-,+,-,+,-
I166,s1283572,-,-,+,-,-,+,+,+,-,-,+,-,+,-,+,+,+,+,+,-,+,-,-
I166,s7807000,+,+,+,-,+,+,+,-,-,+,-,-,-,-,-,-,-,-,+,+,-,-,-
I166,s5818683,+,-,+,+,-,-,-,+,+,-,-,+,-,-,+,-,-,+,+,+,-,+,+
I166,s6574358,+,+,-,-,+,-,-,-,+,-,+,-,-,-,+,-,-,-,+,-,+,+,-
I166,s2628462,-,+,-,+,-,-,-,-,-,-,+,+,-,+,+,-,+,+,-,+,+,+,-
I166,s7510051,+,+,+,-,-,+,-,+,-,-,+,+,-,-,-,-,-,+,-,-,-,+,+
I166,s6764772,+,+,-,-,+,+,+,-,-,+,+,+,-,-,-,+,+,+,-,-,+,-,-
I166,s397686,-,-,-,-,+,+,-,-,-,-,+,-,-,-,+,-,+,+,+,-,+,+,-
I166,s416169,-,-,-,-,+,+,-,-,+,-,+,+,-,-,+,+,-,+,-,+,-,-,+
I166,s225621,-,-,-,-,-,+,+,-,+,+,+,-,-,-,+,-,+,-,+,-,+,-,+
I166,s5976180,+,-,+,+,-,+,+,-,-,+,+,-,-,-,-,-,+,+,+,-,+,-,-
I166,s5080936,+,-,-,+,+,-,+,+,-,-,-,-,+,+,+,-,+,+,-,+,-,-,-
I167,s3671757,-,+,+,+,-,-,-,-,-,-,-,-,+,+,-,+,+,-,-,+,+,-,+
I167,s6366414,+,+,-,-,-,-,+,-,-,+,-,-,+,-,-,+,+,-,-,+,+,+,-
I167,s6625349,+,+,-,-,+,-,+,-,-,-,+,+,-,-,-,-,+,-,-,-,+,-,+
I167,s1031106,-,-,-,+,+,+,+,+,-,+,+,+,-,+,+,+,+,-,-,-,-,+,-
I167,s139071,-,-,-,-,-,+,-,-,-,-,+,+,+,+,+,-,-,+,+,+,+,+,+
I167,s7576796,+,+,+,-,-,+,+,+,-,-,+,+,+,-,-,+,+,-,+,+,+,-,-
I167,s4115655,-,+,+,+,+,+,-,+,+,-,-,+,+,-,-,+,+,-,-,-,+,+,+
I167,s5891368,+,-,+,+,-,-,+,+,+,+,-,-,+,-,+,-,-,+,-,+,-,-,-
I167,s1550347,-,-,+,-,+,+,+,+,-,+,-,+,-,-,-,-,-,-,-,+,-,+,+
I167,s5735339,+,-,+,-,+,+,+,+,-,-,-,-,-,+,+,+,-,+,-,+,-,+,+
I167,s3274770,-,+,+,-,-,-,+,+,+,+,+,+,-,-,-,-,-,-,+,-,-,+,-
I167,s7372156,+,+,+,-,-,-,-,-,+,+,+,+,+,-,+,-,+,+,+,+,+,-,-
I167,s7472752,+,+,+,-,-,+,-,-,-,-,-,-,+,+,-,-,+,+,+,-,-,-,-
I167,s4009188,-,+,+,+,+,-,+,-,-,+,-,+,+,-,-,+,+,+,-,-,+,-,-
I167,s5160341,+,-,-,+,+,+,-,+,-,+,+,+,+,-,+,+,-,-,+,-,+,-,+
I167,s2193309,-,+,-,-,-,-,+,-,+,+,+,-,+,+,+,+,-,-,+,+,+,-,+
I167,s6565970,+,+,-,-,+,-,-,-,-,+,+,-,-,-,-,-,+,-,+,-,-,+,-
I167,s6395948,+,+,-,-,-,-,+,+,-,-,+,+,-,-,-,-,-,+,-,+,+,-,-
I168,s1574031,-,-,+,+,-,-,-,-,-,-,-,-,+,-,-,+,-,-,-,+,+,+,+
I168,s5627754,+,-,+,-,+,-,+,+,+,-,+,+,+,+,+,-,+,+,-,+,-,+,-
I168,s2544775,-,+,-,-,+,+,-,+,+,-,+,-,+,-,-,+,-,-,-,-,+,+,+
I168,s6048499,+,-,+,+,+,-,-,-,+,-,-,+,-,+,-,+,+,+,+,-,-,+,+
I168,s1920578,-,-,+,+,+,-,+,-,+,-,-,+,+,+,-,-,+,-,-,-,-,+,-
I168,s6628246,+,+,-,-,+,-,+,-,-,+,-,-,-,+,+,+,-,-,+,-,+,+,-
I168,s7545202,+,+,+,-,-,+,+,-,-,+,-,-,-,-,+,-,+,+,+,-,-,+,-
I168,s3378637,-,+,+,-,-,+,+,+,-,-,-,+,+,-,+,+,+,-,-,+,+,-,+
I168,s1509860,-,-,+,-,+,+,+,-,-,-,-,+,-,-,+,+,+,+,-,-,+,-,-
I168,s4225403,+,-,-,-,-,-,-,-,+,+,+,+,-,-,+,-,+,+,+,+,-,+,+
I168,s3777298,-,+,+,+,-,-,+,+,-,+,-,-,-,+,+,-,-,-,+,-,-,+,-
I168,s5639382,+,-,+,-,+,+,-,-,-,-,-,+,+,-,-,+,+,-,+,-,+,+,-
I168,s1751392,-,-,+,+,-,+,-,+,-,+,+,+,-,-,+,-,+,+,-,-,-,-,-
I168,s5322031,+,-,+,-,-,-,+,-,-,+,+,-,+,-,+,-,-,+,-,+,+,+,+
I168,s6113489,+,-,+,+,+,-,+,-,+,-,-,+,-,-,-,+,+,-,+,-,-,-,+
I168,s7294750,+,+,-,+,+,+,+,-,+,-,-,+,+,+,+,-,-,-,+,+,+,+,-
I168,s6437064,+,+,-,-,-,+,-,-,-,+,+,+,-,-,-,+,+,-,-,+,-,-,-
I168,s5431793,+,-,+,-,-,+,-,+,+,+,-,-,-,-,+,+,+,+,+,-,-,-,+
I169,s915291,-,-,-,+,+,-,+,+,+,+,+,-,+,+,+,-,+,-,+,+,-,+,+
I169,s6651477,+,+,-,-,+,-,+,-,+,+,+,+,+,+,-,-,+,-,+,-,+,-,+
I169,s7136582,+,+,-,+,+,-,-,+,+,+,-,-,+,-,+,-,+,-,-,-,+,+,-
I169,s689877,-,-,-,+,-,+,-,+,-,-,-,-,+,+,-,+,+,-,+,-,+,-,+
I169,s4659277,+,-,-,-,+,+,+,-,-,-,+,+,-,-,-,-,+,-,-,+,+,-,+
I169,s8344556,+,+,+,+,+,+,+,-,+,-,+,-,-,+,+,+,+,+,-,+,+,-,-
I169,s772528,-,-,-,+,-,+,+,+,+,-,-,+,-,-,+,+,-,+,+,-,-,-,-
I169,s7078991,+,+,-,+,+,-,-,-,-,-,-,-,+,-,-,-,+,-,-,+,+,+,+
I169,s7828394,+,+,+,-,+,+,+,-,+,+,+,-,-,+,+,+,-,+,-,+,-,+,-
I169,s3320973,-,+,+,-,-,+,-,+,-,+,-,+,+,-,-,+,-,-,-,+,+,-,+
I169,s6580945,+,+,-,-,+,-,-,-,+,+,-,+,-,+,-,+,+,-,+,-,-,-,+
I169,s7793753,+,+,+,-,+,+,-,+,+,+,-,+,+,-,-,-,+,-,+,+,-,-,+
I169,s4536475,+,-,-,-,+,-,+,-,-,+,+,+,-,-,-,+,-,-,+,+,-,+,+
I169,s5363957,+,-,+,-,-,-,+,+,+,-,+,+,-,-,-,+,+,+,+,-,+,-,+
I169,s7795693,+,+,+,-,+,+,-,+,+,+,+,-,-,+,+,+,+,+,-,+,+,-,+
I169,s2410392,-,+,-,-,+,-,-,+,+,-,-,-,+,+,+,+,-,-,+,+,-,-,-
I169,s2086863,-,-,+,+,+,+,+,+,+,-,+,-,+,+,+,+,+,-,-,+,+,+,+
I169,s7428053,+,+,+,-,-,-,+,-,+,-,+,-,+,+,+,+,+,-,+,-,+,-,+
I170,s7384163,+,+,+,-,-,-,-,+,-,+,-,+,+,-,-,-,+,+,-,-,-,+,+
I170,s2204271,-,+,-,-,-,-,+,+,-,+,-,-,-,+,-,-,+,+,-,+,+,+,+
I170,s2671654,-,+,-,+,-,-,-,+,+,-,-,-,+,-,-,-,-,+,-,-,+,+,-
I170,s5916299,+,-,+,+,-,+,-,-,+,-,-,-,+,+,-,+,-,-,-,+,-,+,+
I170,s3210038,-,+,+,-,-,-,-,+,+,+,+,+,-,+,+,-,-,+,+,-,+,+,-
I170,s6191259,+,-,+,+,+,+,-,-,+,+,+,+,-,-,-,+,-,-,+,+,-,+,+
I170,s573297,-,-,-,+,-,-,-,+,-,+,+,+,+,+,+,-,+,+,+,-,-,-,+
I170,s6284076,+,-,+,+,+,+,+,+,+,+,-,-,-,+,+,-,-,+,-,+,+,-,-
I170,s1062972,-,-,+,-,-,-,-,-,-,+,+,+,-,-,-,-,-,+,+,+,+,-,-
I170,s239307,-,-,-,-,-,+,+,+,-,+,-,-,+,+,-,+,+,-,-,+,-,+,+
I170,s7257043,+,+,-,+,+,+,-,+,-,+,+,+,-,+,+,+,+,-,+,-,-,+,+
I170,s7815137,+,+,+,-,+,+,+,-,-,+,+,+,+,+,+,+,+,+,-,-,-,-,+
I170,s2590402,-,+,-,-,+,+,+,+,-,-,-,-,+,+,-,+,+,-,-,-,-,+,-
I170,s1390295,-,-,+,-,+,-,+,-,-,+,+,-,+,+,-,+,+,-,+,-,+,+,+
I170,s1034279,-,-,-,+,+,+,+,+,+,-,-,+,-,-,-,-,-,+,-,-,+,+,+
I170,s379724,-,-,-,-,+,-,+,+,+,-,-,+,-,+,+,-,+,-,-,+,+,-,-
I170,s7843412,+,+,+,-,+,+,+,+,-,+,-,+,+,+,-,-,+,-,+,-,+,-,-
I170,s3690024,-,+,+,+,-,-,-,-,+,-,-,+,+,+,-,-,-,+,-,+,-,-,-
I171,s400842,-,-,-,-,+,+,-,-,-,-,+,+,+,-,+,+,+,-,-,+,-,+,-
I171,s7189892,+,+,-,+,+,-,+,+,-,+,+,-,+,-,+,+,-,-,-,-,+,-,-
I171,s2465804,-,+,-,-,+,-,+,+,-,+,-,-,-,-,-,-,-,-,-,+,+,-,-
I171,s4325016,+,-,-,-,-,-,+,+,+,+,+,+,+,+,-,+,-,-,+,+,-,-,-
I171,s8085881,+,+,+,+,-,+,+,-,+,+,-,-,-,-,+,-,+,+,+,+,-,-,+
I171,s7617679,+,+,+,-,+,-,-,-,-,+,+,+,+,-,-,+,-,-,-,+,+,+,+
I171,s3873469,-,+,+,+,-,+,+,-,-,-,+,+,-,+,-,+,-,+,+,+,+,-,+
I171,s2408059,-,+,-,-,+,-,-,+,-,+,+,+,+,+,-,-,+,+,+,+,-,+,+
I171,s3336044,-,+,+,-,-,+,-,+,+,+,-,-,+,+,+,-,+,+,-,+,+,-,-
I171,s2761755,-,+,-,+,-,+,-,-,-,+,-,-,+,-,-,-,-,-,+,+,-,+,+
I171,s5884713,+,-,+,+,-,-,+,+,+,-,-,+,-,+,+,-,-,+,-,+,-,-,+
I171,s4085935,-,+,+,+,+,+,-,-,+,-,+,+,-,-,-,+,-,+,-,+,+,+,+
I171,s7752797,+,+,+,-,+,+,-,-,+,-,-,+,+,-,-,-,+,-,+,+,+,-,+
I171,s2203656,-,+,-,-,-,-,+,+,-,+,-,-,-,-,-,-,-,-,-,+,-,-,-
I171,s7603280,+,+,+,-,+,-,-,-,-,-,-,-,+,-,-,-,+,-,+,-,-,-,-
I171,s3312540,-,+,+,-,-,+,-,+,-,-,-,+,-,+,+,+,-,-,+,+,+,-,-
I171,s1620178,-,-,+,+,-,-,-,+,-,+,+,+,-,-,-,+,+,-,+,-,-,+,-
I171,s5146555,+,-,-,+,+,+,-,+,-,-,-,-,+,+,+,+,-,+,+,+,-,+,+
I172,s7464312,+,+,+,-,-,-,+,+,+,+,-,-,+,-,+,-,+,+,+,+,-,-,-
I172,s3035782,-,+,-,+,+,+,-,-,+,-,+,-,-,+,-,+,-,-,-,-,+,+,-
I172,s6417485,+,+,-,-,-,-,+,+,+,+,-,+,+,-,-,-,+,-,-,+,+,-,+
I172,s2617314,-,+,-,-,+,+,+,+,+,+,-,+,+,+,+,+,+,+,-,-,-,+,-
I172,s6493826,+,+,-,-,-,+,+,-,-,-,+,-,+,+,-,+,-,-,-,-,-,+,-
I172,s2200177,-,+,-,-,-,-,+,+,-,-,+,-,-,+,-,-,+,+,+,-,-,-,+
I172,s371082,-,-,-,-,+,-,+,+,-,+,-,+,-,-,+,+,-,-,-,+,-,+,-
I172,s2035951,-,-,+,+,+,+,+,-,-,-,+,-,-,-,-,+,+,+,-,+,+,+,+
I172,s8259785,+,+,+,+,+,+,-,-,-,-,-,+,-,-,-,+,+,-,-,+,-,-,+
I172,s2750638,-,+,-,+,-,-,+,+,+,+,+,+,-,-,-,+,-,+,-,+,+,+,-
I172,s6508481,+,+,-,-,-,+,+,-,+,-,-,+,+,+,+,+,+,-,-,-,-,-,+
I172,s1851940,-,-,+,+,+,-,-,-,+,-,-,-,-,+,-,-,-,+,-,-,+,-,-
I172,s4300097,+,-,-,-,-,-,+,+,-,-,+,+,+,-,+,-,+,-,-,-,-,-,+
I172,s6544061,+,+,-,-,-,+,+,+,+,-,+,+,-,+,-,+,-,+,+,+,+,-,+
I172,s641980,-,-,-,+,-,-,+,+,+,-,-,+,-,+,+,+,-,+,+,+,+,-,-
I172,s1258065,-,-,+,-,-,+,+,-,-,+,+,-,-,+,-,-,+,-,+,-,-,-,+
I172,s8214747,+,+,+,+,+,-,+,-,+,-,+,+,-,-,-,+,+,-,+,+,-,+,+
I172,s6048340,+,-,+,+,+,-,-,-,+,-,-,+,-,+,-,-,+,-,+,-,+,-,-
I173,s4291328,+,-,-,-,-,-,+,-,+,+,+,+,-,+,+,-,-,-,-,-,-,-,-
I173,s4238868,+,-,-,-,-,-,-,+,-,+,-,+,+,+,-,-,-,-,+,-,+,-,-
I173,s3374853,-,+,+,-,-,+,+,-,+,+,+,+,+,+,+,-,-,-,-,-,+,-,+
I173,s2605880,-,+,-,-,+,+,+,+,+,-,-,-,-,+,+,-,-,+,+,+,-,-,-
I173,s2495891,-,+,-,-,+,+,-,-,-,-,+,-,+,-,+,+,-,-,+,-,-,+,+
I173,s1107165,-,-,+,-,-,-,-,+,+,+,-,-,+,-,-,+,+,-,+,+,+,-,+
I173,s2725277,-,+,-,+,-,-,+,+,-,-,+,-,+,-,+,+,-,-,+,+,+,-,+
I173,s6968202,+,+,-,+,-,+,-,-,+,-,+,-,-,+,+,+,-,-,-,+,-,+,-
I173,s6159090,+,-,+,+,+,-,+,+,+,+,+,+,-,+,-,+,+,+,+,-,-,+,-
I173,s6777292,+,+,-,-,+,+,+,-,+,+,-,+,-,-,+,+,+,-,-,+,+,-,-
I173,s1608200,-,-,+,+,-,-,-,+,-,-,-,+,-,+,-,-,-,-,-,+,-,-,-
I173,s5346015,+,-,+,-,-,-,+,+,-,-,+,-,-,+,-,+,+,-,+,+,+,+,+
I173,s5415540,+,-,+,-,-,+,-,+,-,+,-,-,-,+,-,-,+,+,+,-,+,-,-
I173,s6269557,+,-,+,+,+,+,+,+,-,+,-,+,-,+,-,-,+,+,+,-,+,-,+
I173,s4075092,-,+,+,+,+,+,-,-,-,+,-,+,+,+,-,-,+,-,+,-,+,-,-
I173,s301353,-,-,-,-,+,-,-,+,-,-,+,+,-,-,+,-,-,+,-,+,-,-,+
I173,s7395493,+,+,+,-,-,-,-,+,+,-,+,+,-,-,-,+,-,+,-,-,+,-,+
I173,s3379649,-,+,+,-,-,+,+,+,-,-,+,-,-,-,+,+,+,-,-,-,-,-,+
I174,s5911329,+,-,+,+,-,+,-,-,-,+,+,-,-,+,+,-,-,+,-,-,-,-,+
I174,s7440367,+,+,+,-,-,-,+,+,-,-,-,-,+,+,+,+,+,+,-,+,+,+,+
I174,s4123617,-,+,+,+,+,+,-,+,+,+,-,+,-,+,+,+,+,+,-,-,-,-,+
I174,s1887321,-,-,+,+,+,-,-,+,+,-,-,+,+,-,-,-,+,-,+,+,-,-,+
I174,s4859271,+,-,-,+,-,+,-,-,-,+,-,-,+,-,+,+,-,-,-,-,+,+,+
I174,s2369143,-,+,-,-,+,-,-,-,-,+,-,-,+,+,-,-,+,+,+,-,+,+,+
I174,s7237250,+,+,-,+,+,+,-,-,+,+,-,+,+,+,-,+,-,-,-,-,-,+,-
I174,s7678029,+,+,+,-,+,-,+,-,-,+,-,+,-,-,-,-,+,-,-,+,+,-,+
I174,s3751608,-,+,+,+,-,-,+,-,-,+,+,+,+,+,-,+,-,+,+,+,-,-,-
I174,s2650035,-,+,-,+,-,-,-,-,+,+,-,+,+,+,+,+,-,+,+,-,-,+,+
I174,s5553403,+,-,+,-,+,-,-,+,-,+,+,+,+,-,-,+,+,+,+,+,-,+,+
I174,s514139,-,-,-,-,+,+,+,+,+,-,+,+,-,-,-,-,+,-,+,+,-,+,+
I174,s6087883,+,-,+,+,+,-,-,+,+,+,-,-,+,-,-,+,+,-,-,+,-,+,+
I174,s7695555,+,+,+,-,+,-,+,-,+,+,-,+,+,-,-,+,+,-,-,-,-,+,+
I174,s1596595,-,-,+,+,-,-,-,-,+,-,+,+,+,-,-,+,-,+,+,-,-,+,+
I174,s8189740,+,+,+,+,+,-,-,+,+,+,+,-,+,+,+,-,-,+,-,+,+,-,-
I174,s6950979,+,+,-,+,-,+,-,-,-,-,+,-,-,-,-,-,+,-,-,-,-,+,+
I174,s4760653,+,-,-,+,-,-,-,+,-,+,-,-,+,-,-,-,+,-,-,+,+,-,+
I175,s2472710,-,+,-,-,+,-,+,+,-,+,+,+,-,+,+,-,-,-,-,-,+,+,-
I175,s5188711,+,-,-,+,+,+,+,-,-,+,-,+,+,-,-,-,+,+,-,-,+,+,+
I175,s2121333,-,+,-,-,-,-,-,-,+,-,+,+,+,+,-,-,+,+,+,-,+,-,+
I175,s4170159,-,+,+,+,+,+,+,+,-,+,-,-,-,-,+,+,-,+,-,+,+,+,+
I175,s5050269,+,-,-,+,+,-,+,-,-,-,-,+,+,+,+,+,-,-,+,+,+,-,+
I175,s789292,-,-,-,+,+,-,-,-,-,-,-,+,-,+,+,-,-,+,-,+,+,-,-
I175,s4535705,+,-,-,-,+,-,+,-,-,+,+,-,+,-,+,+,-,-,+,+,-,-,+
I175,s1922070,-,-,+,+,+,-,+,-,+,-,+,-,+,-,-,-,-,-,+,-,+,+,-
I175,s872440,-,-,-,+,+,-,+,-,+,-,-,+,+,+,+,+,+,+,+,+,-,-,-
I175,s1056846,-,-,+,-,-,-,-,-,-,+,-,-,-,-,-,-,+,-,-,+,+,+,-
I175,s489550,-,-,-,-,+,+,+,-,+,+,+,+,-,-,-,-,+,-,-,+,+,+,-
I175,s3996025,-,+,+,+,+,-,-,+,+,+,+,+,-,-,+,-,+,+,+,+,-,-,+
I175,s5887993,+,-,+,+,-,-,+,+,+,-,+,-,+,+,+,+,+,+,+,+,-,-,+
I175,s2212983,-,+,-,-,-,-,+,+,+,-,-,-,+,-,-,-,+,+,+,-,+,+,+
I175,s4173585,-,+,+,+,+,+,+,+,-,+,-,+,+,+,+,-,-,-,+,-,-,-,+
I175,s6894571,+,+,-,+,-,-,+,-,-,+,+,-,-,+,+,+,+,+,-,+,-,+,+
I175,s6480433,+,+,-,-,-,+,-,+,+,+,-,-,-,+,-,-,-,+,+,-,-,-,+
I175,s2716801,-,+,-,+,-,-,+,-,+,+,+,-,+,-,-,+,-,-,-,-,-,-,+
I176,s7436199,+,+,+,-,-,-,+,-,+,+,+,-,+,+,+,+,-,+,-,-,+,+,+
I176,s2756140,-,+,-,+,-,+,-,-,-,-,-,+,+,+,-,-,-,+,-,+,+,-,-
I176,s5184573,+,-,-,+,+,+,+,-,-,-,+,+,+,-,-,-,-,+,+,+,+,-,+
I176,s6072937,+,-,+,+,+,-,-,+,-,+,-,+,-,+,-,-,+,+,-,+,-,-,+
I176,s2544428,-,+,-,-,+,+,-,+,+,-,+,-,-,+,+,-,-,+,-,+,+,-,-
I176,s1545160,-,-,+,-,+,+,+,+,-,-,+,-,-,+,+,+,+,-,-,+,-,-,-
I176,s4294860,+,-,-,-,-,-,+,+,-,-,-,+,-,-,-,+,+,-,-,+,+,-,-
I176,s322809,-,-,-,-,+,-,-,+,+,+,-,+,+,-,-,+,+,+,+,+,-,-,+
I176,s5386729,+,-,+,-,-,+,-,-,-,+,+,-,-,-,+,+,+,+,-,+,-,-,+
I176,s1410424,-,-,+,-,+,-,+,+,-,-,-,-,+,-,+,-,+,+,+,+,-,-,-
I176,s2522502,-,+,-,-,+,+,-,-,+,+,+,+,+,-,+,+,-,-,-,-,+,+,-
I176,s2976798,-,+,-,+,+,-,+,-,+,+,-,+,+,-,-,-,-,-,+,+,+,+,-
I176,s3108505,-,+,-,+,+,+,+,-,+,+,-,+,+,+,-,+,-,-,+,+,-,-,+
I176,s4091931,-,+,+,+,+,+,-,-,+,+,+,-,-,-,-,-,-,-,+,+,-,+,+
I176,s1351620,-,-,+,-,+,-,-,+,-,-,+,+,+,+,+,+,+,-,-,-,+,-,-
I176,s816298,-,-,-,+,+,-,-,-,+,+,+,-,+,-,-,+,-,+,-,+,-,+,-
I176,s6002400,+,-,+,+,-,+,+,+,-,-,+,-,+,+,-,+,+,+,-,-,-,-,-
I176,s4733009,+,-,-,+,-,-,-,-,-,+,+,+,-,-,-,-,+,-,+,-,-,-,+
I177,s1876368,-,-,+,+,+,-,-,+,-,+,-,-,-,-,+,+,-,-,+,-,-,-,-
I177,s658736,-,-,-,+,-,+,-,-,-,-,-,+,+,-,+,-,-,+,+,-,-,-,-
I177,s236556,-,-,-,-,-,+,+,+,-,-,+,+,+,-,-,-,-,-,-,+,+,-,-
I177,s7752715,+,+,+,-,+,+,-,-,+,-,-,+,+,-,-,-,-,-,-,+,-,+,+
I177,s8121519,+,+,+,+,-,+,+,+,+,+,-,+,+,-,-,+,-,+,-,+,+,+,+
I177,s5821834,+,-,+,+,-,-,-,+,+,-,+,-,+,-,+,+,-,-,-,+,-,+,-
I177,s349693,-,-,-,-,+,-,+,-,+,-,+,-,+,-,+,+,+,+,+,+,+,-,+
I177,s5615143,+,-,+,-,+,-,+,+,-,+,-,+,+,+,-,-,-,+,-,-,+,+,+
I177,s7715039,+,+,+,-,+,-,+,+,-,+,+,+,-,-,-,+,+,-,+,+,+,+,+
I177,s2241400,-,+,-,-,-,+,-,-,-,+,+,-,-,+,+,-,+,+,+,+,-,-,-
I177,s6081726,+,-,+,+,+,-,-,+,+,-,-,+,+,-,-,+,-,+,+,+,+,+,-
I177,s2462047,-,+,-,-,+,-,+,+,-,-,+,-,-,-,+,-,+,-,+,+,+,+,+
I177,s413283,-,-,-,-,+,+,-,-,+,-,-,+,+,+,-,-,+,+,-,-,-,+,+
I177,s5056262,+,-,-,+,+,-,+,-,-,+,-,-,+,+,+,-,-,-,-,-,+,+,-
I177,s4007397,-,+,+,+,+,-,+,-,-,+,-,-,+,-,+,+,+,+,-,-,+,-,+
I177,s5616241,+,-,+,-,+,-,+,+,-,+,+,-,-,+,-,-,+,+,+,-,-,-,+
I177,s552939,-,-,-,+,-,-,-,-,+,+,-,+,+,+,+,+,+,+,-,+,-,+,+
I177,s7040197,+,+,-,+,-,+,+,-,+,+,-,+,+,-,-,+,+,-,-,-,+,-,+
I178,s2113192,-,+,-,-,-,-,-,-,-,+,+,+,+,+,-,+,-,+,-,+,-,-,-
I178,s8110611,+,+,+,+,-,+,+,+,+,-,-,-,-,+,-,-,-,-,+,-,-,+,+
I178,s2827983,-,+,-,+,-,+,+,-,-,+,-,-,+,+,-,+,+,-,-,+,+,+,+
I178,s4513627,+,-,-,-,+,-,-,+,+,-,+,+,+,+,+,-,+,-,+,+,-,+,+
I178,s2293926,-,+,-,-,-,+,+,-,-,-,-,-,-,-,-,+,-,+,-,-,+,+,-
I178,s2144927,-,+,-,-,-,-,-,+,-,+,+,+,-,+,-,+,-,-,+,+,+,+,+
I178,s6975753,+,+,-,+,-,+,-,-,+,+,+,-,-,-,+,-,-,-,-,+,-,-,+
I178,s7865265,+,+,+,+,-,-,-,-,-,-,-,-,-,+,+,+,-,+,+,-,-,-,+
I178,s2009305,-,-,+,+,+,+,-,+,-,+,-,+,-,-,-,+,+,-,+,+,-,-,+
I178,s7328994,+,+,-,+,+,+,+,+,+,-,+,-,+,-,-,+,+,+,-,-,-,+,-
I178,s5750200,+,-,+,-,+,+,+,+,-,+,+,+,+,-,+,+,-,+,+,+,-,-,-
I178,s1619241,-,-,+,+,-,-,-,+,-,+,+,-,+,-,+,-,-,+,-,+,-,-,+
I178,s1153776,-,-,+,-,-,-,+,+,-,-,+,+,-,+,-,+,+,+,+,-,-,-,-
I178,s5209303,+,-,-,+,+,+,+,-,+,+,+,+,+,-,-,+,+,-,+,-,+,+,+
I178,s6560922,+,+,-,-,+,-,-,-,-,-,+,+,+,-,-,+,-,-,+,+,-,+,-
I178,s7304081,+,+,-,+,+,+,+,-,+,+,+,-,-,+,+,+,-,-,+,-,-,-,+
I178,s2731939,-,+,-,+,-,-,+,+,-,+,-,+,+,+,+,+,-,+,-,-,-,+,+
I178,s7156681,+,+,-,+,+,-,+,-,-,+,+,-,-,+,+,+,+,-,-,+,-,-,+
I179,s2491396,-,+,-,-,+,+,-,-,-,-,-,-,+,-,-,-,-,-,-,-,+,-,-
I179,s3411421,-,+,+,-,+,-,-,-,-,-,-,+,+,-,+,+,+,-,+,+,+,-,+
I179,s2491589,-,+,-,-,+,+,-,-,-,-,-,-,+,-,-,+,+,-,-,-,+,-,+
